#     x (arcsec)      y (arcsec)              g1              g2               z
       -839.1415        -75.1817         -0.0943          0.0868           4.673
        -74.4776       -761.9081         -0.3256         -0.4647           0.678
       -768.8399        372.1168          0.2857          0.6587           2.216
       -601.1951       -719.1657         -0.5965         -0.2558           3.162
        722.4200        771.3628          0.1018         -0.2339           1.158
        528.4679        588.4475         -0.3730          0.6096           2.872
        629.3275        835.0334          0.1776         -0.0432           5.867
       -828.0789        539.8783         -0.0649          0.1845           2.595
       -741.2973       -104.1027         -0.1011          0.1813           2.257
        853.4427        800.2648          0.3498         -0.2850           3.755
        841.7428       -369.0046          0.0905          0.0672           1.806
        806.3065        681.4314          0.0214          0.4038           5.439
        297.8275        390.2773          0.3296          0.5668           4.170
         34.4462        133.7027         -0.0013         -0.4917           3.838
        283.0569        434.3654         -0.0709         -0.3198           2.545
       -730.9868       -128.1797         -0.0491         -0.3435           4.982
       -749.2180       -776.7129          0.2548         -0.2262           2.598
       -809.2041       -674.3057         -0.0123          0.0435           2.175
       -751.2572        149.3063          0.4341          0.5820           5.388
        835.1631        368.1887         -0.2149         -0.1585           0.458
       -599.3107       -647.6073         -0.4917         -0.1841           1.711
       -407.3002       -358.2213         -0.2710          0.5932           3.842
        630.9500         -8.8761         -0.5253          0.5354           0.414
       -729.3320       -646.6556         -0.2483          0.2877           4.283
         11.3472         45.7724         -0.0279         -0.0106           3.843
       -455.7394        688.1775         -0.4318         -0.0804           1.824
       -368.4648        864.1873         -0.3294          0.3176           5.748
        898.7331        778.3055          0.1737          0.0221           2.209
       -808.5345       -580.2512         -0.0621         -0.1158           2.840
         -8.2032         88.0209         -0.0724          0.0881           0.906
        763.6903        656.8561         -0.1969          0.1575           1.044
        703.2937       -727.3483         -0.0688         -0.0616           1.272
       -593.4139        158.0514         -0.2462         -0.3373           5.726
       -506.0105        169.1891          0.1863          0.1524           0.640
       -665.6129       -634.7252         -0.2239         -0.4019           1.028
       -581.1187       -520.9048          0.2290         -0.3663           3.139
        671.4502       -666.4270         -0.0688          0.1409           0.980
       -587.9102       -604.8982         -0.0719          0.1301           2.419
        518.1356        109.8655         -0.2322         -0.6623           5.163
         65.5620       -623.3684          0.1124         -0.0527           1.382
       -195.6612       -807.0310         -0.0030         -0.1119           1.590
        563.5206        395.0591         -0.1550         -0.7700           3.032
       -163.6018       -675.1812          0.1646         -0.0185           3.979
       -511.3723         87.8711         -0.0401         -0.0146           5.409
