#     x (arcsec)      y (arcsec)              g1              g2               z
       -359.1211       -250.0837         -0.1621         -0.6765           1.915
       -680.3074       -115.4667          0.1407          0.1074           2.200
       -206.3652       -510.8734         -0.4004         -0.3027           4.626
       -775.2175        162.3094         -0.3296         -0.0212           1.677
       -696.6116        145.6175         -0.4602          0.3728           3.059
       -867.9545        160.2505          0.6112         -0.1399           4.762
        466.8705        560.9888          0.0713         -0.4210           1.595
        601.9457        -54.9223          0.7262         -0.1478           5.469
        168.1026       -425.7337          0.1955          0.6715           2.490
        309.5323        189.7243         -0.0219         -0.3636           2.400
        825.8478       -597.3291          0.2514          0.4247           2.630
        -38.0646       -756.9367         -0.0730         -0.0634           4.193
       -364.1656       -580.3629          0.1768          0.0722           1.049
        638.3158       -708.8478         -0.0890          0.2316           5.989
        689.3977       -627.3651         -0.4315          0.4189           1.692
        -43.6408        647.1376         -0.2038          0.5854           0.410
        687.2241        557.3874          0.2580         -0.0292           2.897
        -86.1667        -97.9442         -0.1766         -0.5018           2.749
         32.3726         10.9080          0.2599          0.2656           5.957
         53.9117         23.1143         -0.2632          0.0873           4.568
        575.5888       -454.4724         -0.4862          0.3894           2.017
       -244.9450        490.7737         -0.0371          0.1455           3.346
        671.6551        504.0353          0.1733          0.2304           2.216
        724.8031        650.8659         -0.5812         -0.2072           1.631
        191.1387        381.8265         -0.3238         -0.5300           1.708
        199.9294       -277.6353         -0.2243          0.2336           5.239
       -300.9289       -555.7974          0.3899          0.1995           5.725
        385.3639       -261.2062          0.0620          0.1056           2.085
        466.6911        749.5488          0.1726         -0.3855           2.767
        649.7850        387.9554         -0.1351          0.0234           1.582
        586.5969        -18.3304         -0.1427          0.5707           2.441
        271.5320        570.0784         -0.1411          0.0495           3.021
         25.7899       -512.6038          0.3795         -0.2136           1.569
        -97.2361       -344.5643          0.2547         -0.7246           2.931
       -360.0607         41.5639         -0.0154         -0.0584           1.192
        805.9707       -705.2728         -0.7895          0.0174           3.586
        410.3204        199.4232         -0.2140         -0.6859           1.957
        703.3487        316.9244          0.0154          0.0371           0.526
        225.5133         97.7567         -0.3253         -0.5829           5.868
       -391.7049        130.0142         -0.0520          0.2336           1.920
       -528.8026       -258.7125         -0.2121         -0.3327           1.585
        762.6644       -521.0706         -0.0504         -0.1793           5.550
         41.0314        573.0491         -0.0262         -0.4346           1.287
        147.7180        169.0458         -0.2136          0.3275           2.930
        727.7658       -597.8388          0.8028         -0.0413           0.447
        439.2914       -334.8972         -0.2558          0.3755           0.930
       -865.5362         74.5541         -0.6500         -0.3371           5.029
        554.3502        214.9490          0.0953          0.2594           5.352
        756.3208       -745.0255         -0.0891          0.8191           5.497
       -313.0504        132.9461         -0.2289          0.1899           4.751
        270.7764        843.4752          0.4782          0.1010           1.184
       -146.3701       -373.1169         -0.0895         -0.0546           1.668
       -463.3678       -200.4293         -0.0888         -0.1041           4.495
       -314.7828        183.5723          0.4343          0.4810           2.103
        730.9502       -848.5085          0.0847         -0.5755           3.094
        186.9106       -769.2772         -0.2205         -0.1054           2.704
        116.8473       -294.9453          0.1085          0.1260           5.654
        -63.4002       -353.4904          0.4986         -0.4009           3.350
        207.2472       -472.7426         -0.2637          0.6277           5.982
       -492.0314          8.1287         -0.3490          0.3614           4.124
       -744.3778       -662.5124         -0.2488         -0.1985           3.099
       -526.9625        847.8620          0.5954         -0.2473           3.987
       -891.6245        799.3187         -0.0528         -0.0239           3.030
        735.5953        842.8313          0.0041          0.1571           1.286
        682.6032        574.3776          0.1263         -0.1600           4.023
       -436.1414       -690.7099         -0.0533         -0.4989           3.714
        439.7090        -79.0637         -0.5549         -0.0914           3.904
       -357.5001       -375.3627         -0.2856         -0.6233           4.185
       -617.9942        107.1728         -0.4212         -0.0439           5.899
        538.7893        267.3948         -0.1866          0.0157           0.959
       -859.3264       -707.6805         -0.0691         -0.1570           1.028
        324.8200        -56.4938         -0.3660         -0.4195           5.464
       -578.6238       -872.3194          0.0559         -0.5334           4.588
        550.8130        118.8610         -0.7698          0.3277           5.804
        654.9280        494.0625         -0.0003          0.1620           4.930
       -291.7240       -203.3942          0.4593          0.0674           4.559
        835.1210        806.4926          0.0461         -0.4171           3.910
       -832.7561       -109.5870         -0.2577          0.3305           2.224
        712.0420        847.0312         -0.1606          0.1169           5.473
        241.9217        687.4081         -0.1194          0.2245           3.166
       -150.3660        607.5293         -0.0079          0.2037           4.190
        209.2187       -352.0863          0.0707          0.0778           3.817
        347.4697       -572.4467          0.1566          0.1508           1.498
        559.2842        739.3678         -0.4011          0.3345           4.760
        629.4288        683.0988         -0.2250         -0.1982           3.865
       -624.6804       -563.3063         -0.1526         -0.2705           0.867
        685.4597       -847.0089          0.4272         -0.0072           0.981
       -330.1405        -73.2894         -0.3683          0.4455           3.429
         74.5681       -469.2231          0.2397          0.2041           5.425
        645.1338        501.3741         -0.5094          0.0990           5.263
        272.6869        685.9170         -0.1030         -0.0057           0.558
       -277.9952       -168.4772         -0.3511         -0.3143           1.221
       -403.3711       -583.1465          0.5642         -0.0864           5.767
        481.5209       -851.8199         -0.0008          0.0189           2.501
        343.9268       -438.1771         -0.3287          0.2316           4.594
        498.7673        685.2271         -0.0783          0.1710           1.521
        445.1386       -151.7078         -0.3997          0.1121           2.431
        146.0281        538.1364         -0.3708         -0.3641           5.291
       -113.6714       -267.6725          0.3292         -0.1326           0.750
         76.3123        481.8667          0.7657          0.0575           3.622
        828.2539       -453.7268         -0.1497          0.1933           5.553
        473.8746        166.4104          0.5024          0.0070           1.145
       -495.9244        542.0509          0.2928         -0.0132           3.829
       -810.5452        591.3360         -0.3479          0.1417           5.091
        490.7440        -39.5873         -0.4250         -0.4517           0.885
       -850.2085       -646.4156         -0.0257         -0.2903           0.514
       -733.0298       -286.1434          0.0384          0.1730           4.472
       -326.2262        564.6025          0.6048          0.1134           0.771
       -720.0861       -252.3981         -0.1235         -0.7941           2.749
       -508.2153       -882.1954         -0.1755         -0.3631           2.269
       -821.1201        247.2971         -0.5932          0.1990           2.490
       -317.8360       -791.4681         -0.0330         -0.4062           5.120
        -74.2575        416.1333          0.2548          0.1919           4.643
        160.6656        366.1817          0.0254         -0.1594           2.385
        296.8509       -558.4958          0.1572          0.4826           5.631
       -655.1697       -770.6413         -0.0624         -0.0616           5.247
        294.2773        493.4170         -0.5386          0.5098           0.932
       -268.4835       -675.6456          0.1216          0.0525           2.264
       -875.5468       -320.0953          0.1648          0.1474           5.057
       -443.1541        396.0733          0.2631          0.2589           2.790
       -285.1699       -646.1839          0.0991          0.0465           3.347
        161.3852       -507.6001          0.1578          0.1476           4.595
        594.5993         72.9445         -0.3531          0.2022           1.808
        828.2225       -611.9280         -0.2328          0.1417           3.092
         48.2093        330.6491         -0.4378          0.4457           4.958
       -658.5928        259.4238          0.0401         -0.0468           1.616
        885.3718        857.3866         -0.0694          0.1323           0.753
        256.2858        630.1829         -0.2578          0.0268           3.022
        777.3032        730.9831          0.5245          0.2729           3.499
        131.5685       -817.8286          0.4131          0.0547           4.363
        393.9085        273.9925          0.1259         -0.2700           0.743
       -172.7660        256.3166          0.4239          0.1154           5.116
       -899.8738        565.4946         -0.1019          0.1517           2.632
        116.3194        721.4355          0.5348          0.2681           5.013
       -541.3476       -458.2088         -0.0619         -0.0226           0.438
        684.8311       -299.0936         -0.1176         -0.1871           1.744
       -629.8121        286.6342          0.5657          0.0801           0.739
        172.7913        587.4196          0.1663         -0.1644           5.366
       -398.6959        777.3987          0.6443         -0.2636           1.321
       -152.4774       -694.8339         -0.4774          0.2027           1.014
       -461.1221       -355.2141          0.4625         -0.2217           5.098
       -520.8228        851.6136         -0.3143          0.4652           4.179
        274.0422       -534.8842         -0.0624         -0.1124           4.109
        204.1333       -539.3653          0.1773         -0.1060           4.058
       -611.5229       -879.6438          0.2342         -0.0697           2.968
        363.4088        758.4613          0.0723          0.0426           0.572
        583.7221        442.3879         -0.0735         -0.6508           0.836
       -617.0868       -152.3064          0.0384          0.0091           5.141
       -433.5442       -836.1104         -0.0365         -0.1902           4.512
       -785.3607         -6.7112          0.2771          0.1939           0.939
       -537.0868       -737.0180         -0.5434         -0.5976           3.345
        234.2132       -209.9268         -0.2948          0.2477           3.803
       -201.8168        688.0019         -0.3859         -0.6179           5.472
       -877.6294        269.3031          0.1008          0.0855           5.665
         82.0426        600.8540         -0.3674          0.0037           3.421
        641.5695       -411.1703          0.3103         -0.1115           5.617
       -724.9535        503.3770         -0.6949         -0.0422           5.284
        569.7165        288.7156         -0.2741         -0.3914           1.725
        837.4413       -357.5778         -0.2939         -0.2748           5.563
       -476.7270        449.1942          0.4015          0.6732           1.883
       -784.5279       -190.3669          0.0130          0.0935           4.186
        215.7750       -865.1430         -0.0737          0.7593           5.364
       -751.0967        800.8940         -0.2025         -0.3212           4.928
        434.1906       -525.0015          0.3762          0.2903           2.124
        171.8565       -556.0755          0.1484          0.4998           1.575
        -23.3973       -257.0009          0.1670         -0.0337           4.133
        553.6002        429.3241         -0.4665         -0.2815           4.704
        826.5872        -79.4485         -0.5553         -0.2747           2.446
       -689.1615         36.5555          0.0331          0.0356           0.712
        686.2277        284.9915          0.0988         -0.4540           3.601
        755.8903        348.9441          0.0593         -0.3305           5.464
       -619.9610       -179.1528          0.4636          0.3886           0.641
       -847.5158       -461.6567         -0.4433         -0.3410           1.240
       -736.2770        743.0278         -0.2983         -0.3487           5.895
        568.5972       -250.0838          0.1501         -0.1565           3.486
        459.7394        -84.9940         -0.5637          0.6158           0.763
        435.2103       -522.1114         -0.1131          0.7138           2.527
         79.7563       -660.3174         -0.0716          0.0110           4.264
        257.1007        317.2165          0.3725         -0.4422           1.138
       -322.7165       -638.5722          0.0098         -0.1628           4.834
        -42.6064        494.1113          0.2540          0.0207           0.733
        809.0317        426.9188          0.1808         -0.3485           1.188
        518.4343        291.2621          0.0352         -0.2046           1.696
       -249.4128        -68.2232         -0.3104          0.1844           2.355
       -378.7326        655.8007          0.3288         -0.2019           4.069
        -49.7039        866.5456          0.3913         -0.2500           3.960
       -429.4046         69.4841         -0.0324          0.1228           4.721
       -587.6057       -557.4520          0.2309          0.5923           3.214
        396.3839       -199.2745         -0.3974          0.1800           5.740
       -456.5880        217.2662          0.0090         -0.3311           1.533
       -583.9318        363.8756         -0.0032          0.0095           4.527
       -482.7818       -285.4172         -0.1536         -0.0765           2.772
       -495.5702       -599.6136          0.4981         -0.1047           5.023
       -663.5615       -408.9631          0.0638         -0.3171           1.869
        763.5858        550.4678          0.0676         -0.0401           3.958
       -505.2772       -317.1664         -0.3260          0.3727           3.375
       -739.1090       -859.9872         -0.1053         -0.1684           1.953
        798.4300        553.3949          0.0097          0.0372           5.898
         38.7334        464.1832         -0.3374          0.4273           3.080
        863.9298       -352.9701         -0.1305          0.0461           2.904
         48.4614       -820.2296         -0.6368          0.0634           2.058
        428.1715       -559.1151         -0.4368          0.1070           1.902
       -315.6589       -154.8638         -0.1709          0.0462           2.265
        420.8654       -183.8845          0.0336          0.1360           5.161
       -878.6149        858.1997         -0.1113         -0.4571           4.446
         45.1622       -576.0203         -0.7632          0.1257           3.626
        253.0354        724.3798         -0.1194         -0.2796           3.298
        866.1833       -279.2709          0.3759         -0.2986           0.728
        249.2187        664.2311          0.7010          0.2706           5.738
       -570.8694       -784.0089          0.1305         -0.1581           5.950
        649.5558         58.8449         -0.3551          0.5418           2.201
        604.5811       -755.8767          0.4337          0.2422           4.769
        -66.0696        651.2557          0.2860         -0.1123           2.366
       -589.4491       -685.8365         -0.0744          0.2836           2.924
       -765.9182       -223.1773         -0.0117          0.1238           4.315
        766.6417       -844.6976          0.0096          0.1718           5.845
        882.2369       -546.9418         -0.7045          0.3818           4.693
       -702.7210        838.5140          0.1123          0.1544           5.085
       -203.0155        489.2782          0.3052          0.1145           5.493
       -179.3002       -325.4496          0.6034         -0.0947           5.623
        754.6144        391.4655          0.2178         -0.7683           4.796
        426.0579        859.0104         -0.2676          0.7492           2.973
       -419.2419        -48.9846         -0.4623          0.4651           4.906
        -80.5466       -486.4473          0.1274         -0.1023           1.226
        321.3899        294.3965          0.7494         -0.2103           3.409
       -803.6802       -481.2227         -0.6616          0.0527           2.363
       -629.2975       -811.0674         -0.1702         -0.4283           3.014
        528.3953        274.9513         -0.1990          0.1877           5.311
        424.3118        358.3065          0.1219         -0.4763           5.802
       -706.5111        268.3172         -0.1352         -0.0355           3.481
       -494.6844         10.7794          0.6446          0.2508           5.914
       -743.4116        618.6362         -0.0220          0.2786           3.224
       -315.9777       -630.8843         -0.4364          0.0758           1.277
       -651.2203       -865.0449          0.1451         -0.0977           4.706
       -548.3959        294.3528         -0.3748          0.0272           2.853
        501.9507        -80.9226         -0.3476          0.4459           5.494
        660.4973        264.1881         -0.6206          0.2735           4.795
        186.8353        482.6117         -0.6028         -0.4836           1.789
        886.3503        492.6842          0.0139          0.0819           5.591
        -60.9639        393.6102          0.3514         -0.6950           0.529
       -439.5923       -389.5165          0.1534         -0.2692           1.451
       -154.1886       -772.9830          0.1627          0.0135           3.206
       -868.3613        531.2266          0.0895          0.1910           3.059
        690.2337       -721.5228          0.4816          0.6016           0.753
         32.7854       -429.5162          0.0530          0.0825           4.015
        536.5984         22.8724          0.3550          0.3635           3.966
        -73.5979        -84.3253          0.0394         -0.5291           4.367
         28.6635          8.2021          0.3784          0.0888           2.775
         75.2273         24.6552         -0.2834         -0.7485           1.085
       -478.5559        508.5381         -0.0751          0.2545           5.206
        839.8266        270.1048          0.1271         -0.6248           3.051
       -830.2434       -788.3977         -0.0984         -0.0747           1.613
        306.6842       -603.9592         -0.5048         -0.1659           2.623
        284.0000        831.9995         -0.0108          0.0641           3.589
        124.2452       -725.6795          0.3988         -0.2489           0.639
        -52.3769        521.6592          0.3118         -0.0454           5.855
       -525.0606       -486.6812         -0.1875         -0.1735           1.046
         53.2566        858.9738         -0.1998          0.4917           3.622
       -834.0235       -276.9071         -0.1678          0.3134           2.875
       -316.0111        149.6004         -0.4904         -0.0684           5.420
        653.1926       -887.6990         -0.4913          0.0647           4.153
        531.3136       -135.7317          0.1223          0.1306           3.731
         74.7927        569.3032          0.1456         -0.5291           4.307
        569.6273        700.0281         -0.0939         -0.0449           1.238
       -620.9612       -880.9646          0.0711          0.1172           1.572
       -563.4220        650.0770         -0.0748         -0.2143           1.692
        791.1851       -627.3724          0.2275          0.0836           2.965
       -760.1784        -14.2657         -0.2323         -0.0161           5.503
         24.7217        572.2009          0.1854          0.2222           4.985
        831.3444        526.5424         -0.2621         -0.0650           4.108
        348.1705       -699.9767          0.1140          0.1617           5.117
        496.9089        853.2852          0.1854          0.0627           1.920
        331.5698        448.9165          0.1099         -0.0582           3.984
        310.9290       -621.0031         -0.2380          0.3742           5.495
         43.9032       -347.2349          0.0096         -0.1028           4.912
        178.9065       -758.3361         -0.0814          0.4704           1.144
       -231.9479       -609.0416          0.0895         -0.1426           1.931
        774.0782        179.8523         -0.1343         -0.1003           3.590
       -735.3511       -885.9992         -0.3278          0.3152           5.245
       -220.5945        824.3527          0.2796          0.1161           2.088
       -826.4961       -562.5054          0.0671          0.2622           1.394
         13.0457        768.3737          0.5882         -0.3912           5.143
       -696.1532        371.6397          0.0937          0.0589           5.580
        361.2576        243.8657          0.0185          0.3500           2.759
        648.3781       -869.7730          0.0482         -0.0032           5.228
       -247.3440        -82.0563         -0.8282         -0.2517           5.059
       -504.3512        146.4899         -0.3623          0.3948           5.754
        120.0131        231.0429         -0.0600         -0.3990           2.736
       -784.1374        325.0623         -0.0077         -0.1904           4.050
       -735.1000       -850.5258         -0.3114          0.0489           4.760
        422.7369       -166.3115         -0.1423          0.0422           5.858
        779.3367        816.8355         -0.0917         -0.1469           3.144
       -135.8540       -796.0959          0.3455          0.3123           4.448
        685.2894        452.3887         -0.3756          0.4468           4.815
       -493.0485        -75.1332         -0.2813          0.1889           0.820
        668.0080        503.6416         -0.0783          0.0784           5.188
        178.7344       -437.2082          0.0460          0.2670           3.126
       -243.5241       -325.2054          0.1617         -0.2901           5.644
        887.4196        819.0694          0.0944         -0.2196           5.765
        417.9701         -3.9969         -0.2986         -0.5724           5.013
         54.4470        432.5077         -0.1864         -0.0889           0.909
        -27.1893        607.4419          0.0862          0.2770           1.178
        640.3445       -753.9789         -0.1059          0.3779           3.360
       -698.5817        187.8362          0.0204          0.0750           3.823
        508.8706        871.9832         -0.1494         -0.0603           1.824
       -110.5923       -226.2373          0.5171          0.0686           0.695
       -587.6101        657.0321          0.5473          0.4782           4.901
        183.7532        334.5089          0.1943         -0.0423           5.782
        642.4353        717.0672         -0.0950         -0.5205           5.406
        336.3323         79.8297         -0.6326          0.1452           4.154
       -891.3074        856.1281          0.1639         -0.0208           5.980
       -414.5898        240.3631          0.3250          0.3510           2.397
       -429.0196        632.4400         -0.3379         -0.6612           0.809
        240.5120        499.9627          0.1484          0.1103           0.740
       -831.0108       -409.5574          0.0065          0.0759           3.277
        491.7245       -828.3822         -0.2507         -0.1748           5.691
        827.2512        875.4290         -0.5078         -0.5381           5.121
       -679.6773        659.2947          0.0285          0.2393           1.788
        -54.7402       -348.4886         -0.2745         -0.2597           1.794
        324.5504       -704.9368         -0.4615         -0.2121           2.566
       -401.9174       -573.9082         -0.1496         -0.1755           4.078
       -854.0162       -644.9109          0.2690         -0.2176           5.530
       -205.4436       -716.0632          0.1821          0.2016           1.014
        856.6462       -112.2601         -0.5790          0.2331           1.850
        -50.0618        691.3071         -0.4189         -0.0911           0.881
       -575.2875       -100.7552         -0.6744         -0.4569           1.351
        693.7705        687.8058         -0.1871         -0.3700           3.974
       -215.4290        423.5550          0.1067         -0.6642           4.647
       -684.0504        564.7442         -0.2452          0.2933           1.429
       -799.7168         66.0288          0.1445          0.2158           4.914
       -619.3610       -791.8339         -0.7342         -0.2897           2.330
        655.4548        540.9197         -0.1614         -0.1225           5.535
       -507.8513       -305.9870          0.0137         -0.0704           2.640
         -2.2727        416.4106          0.3990          0.4286           4.895
        846.6345        359.1462         -0.0938          0.0277           4.918
       -625.1205        103.4611         -0.4203          0.0328           1.836
        317.6857       -341.0278         -0.2613          0.1472           5.070
        263.6210        621.9678         -0.1440          0.0992           3.006
       -156.7721       -623.7858         -0.1255          0.0929           5.925
       -305.0504        802.6754         -0.2276          0.2232           5.216
        428.6121        254.5279          0.0789          0.0154           3.463
        735.9480        737.5105          0.2202         -0.4428           5.523
       -340.0444       -428.8360         -0.6311         -0.5576           5.485
        315.2548       -156.7691          0.0489         -0.1728           0.832
       -562.4319        432.5796          0.1367          0.3974           5.483
        -63.9276        403.7562          0.6429          0.3228           2.497
       -660.4629        597.8080          0.0982          0.1943           1.232
        168.7435       -579.3634         -0.3674         -0.3077           1.564
       -523.7657        487.7068          0.3832         -0.5800           1.992
        786.7964       -153.5179         -0.1376         -0.1688           4.921
       -706.1446       -808.6799         -0.0715         -0.0265           4.379
       -739.9788        558.9912          0.0394          0.0142           0.561
       -539.1442        280.8822         -0.0935         -0.0252           5.358
        -48.1038        732.3337          0.1712         -0.2657           4.323
       -648.9676       -617.2879         -0.0493         -0.1977           0.606
        610.5232       -337.3938          0.0690          0.3245           1.157
       -365.2519       -790.7453         -0.1172         -0.4905           1.102
       -228.8828       -876.5753         -0.1187          0.6007           5.797
       -635.0629        150.3912         -0.0366          0.1069           1.130
       -269.4250       -785.1184         -0.3846          0.6246           4.250
       -684.4963        501.9865          0.0421          0.5231           2.686
          2.5316        429.3596         -0.2659         -0.6649           2.329
       -792.9467        814.2454          0.2422         -0.4597           2.996
        -31.2876       -703.1971          0.0580          0.1711           4.336
        241.4853       -595.5397         -0.0338          0.1059           1.271
       -593.0805        541.9215          0.1556         -0.0828           5.291
        889.9936         82.9322         -0.0472          0.4373           4.507
       -285.7357       -392.4762         -0.2771         -0.1776           2.862
        -88.5204        671.0211          0.1847         -0.0598           5.378
       -181.6010       -768.7456         -0.1379         -0.1012           5.056
       -729.2245        341.7000         -0.5384         -0.0678           2.822
       -431.1383        778.0294          0.8002         -0.1965           1.779
        593.1667       -128.0522         -0.3512          0.2531           1.267
        753.1829       -402.3675         -0.2672          0.0503           3.562
         -8.1500        833.1987         -0.3451          0.3524           0.959
        451.7453        335.2791          0.3968         -0.2903           5.067
        406.7871        148.7097         -0.0751         -0.3982           2.355
       -204.2554       -684.6007         -0.2847         -0.0618           3.576
        309.7639        725.1669          0.2069          0.0106           5.790
       -508.7121         68.0541         -0.0409         -0.1736           3.853
        656.7018       -151.2218         -0.1746          0.0735           0.753
        480.0829        255.9413         -0.0862         -0.4891           0.909
        628.1276       -139.4598          0.0133         -0.3301           1.005
        452.8509         38.4558         -0.3746          0.0905           4.211
        113.5322        833.9183         -0.0237         -0.0087           2.801
       -155.1515        263.8927          0.1503          0.1526           4.600
       -281.0236        397.5048         -0.0372          0.0485           2.748
        767.2520       -860.6371          0.7993          0.1800           2.155
       -462.5720       -621.9545          0.2486         -0.2759           4.397
        278.8282       -161.9972         -0.2689          0.0148           3.068
        279.0293       -618.4853         -0.3685         -0.5605           2.774
       -470.2880         34.8197         -0.7784         -0.1880           5.802
       -403.0447       -291.1058          0.0366         -0.3221           4.656
        843.6705        546.0693          0.4764         -0.3198           3.114
        -92.4994       -726.1413         -0.1619          0.3951           3.372
       -101.1343         26.0379         -0.7242          0.6440           5.547
        857.0168       -599.4385         -0.4825         -0.1312           5.514
       -869.8640       -138.2363         -0.1399          0.1722           5.543
       -875.6213        -33.6319         -0.0042          0.3664           1.666
       -738.3781       -240.4978          0.0089         -0.0628           3.209
        388.9793        106.0544          0.0441         -0.6150           2.363
        324.6957       -694.9241         -0.2842          0.1352           1.203
       -160.4019       -737.5659          0.4226         -0.6166           5.025
       -247.8394        578.5125         -0.1230          0.1380           3.945
       -899.4897       -749.9715          0.1316         -0.0294           4.566
       -549.8466        -65.8304          0.0548          0.1199           3.572
       -803.5608       -154.6166          0.1727          0.0792           1.691
        759.7534       -721.7537         -0.3182         -0.5000           2.613
       -106.9510       -729.7176          0.1346          0.0126           1.785
         45.7073        313.2196          0.0187         -0.0116           2.581
       -421.5674       -888.6045          0.3449         -0.1235           3.694
       -776.0239       -460.0793          0.1670         -0.5074           2.534
        775.7634        669.7828         -0.1803         -0.1342           2.417
       -352.1687       -312.9636         -0.3587         -0.3157           5.637
        -72.0892       -797.5825         -0.2517          0.5002           0.592
       -394.2606        795.5426          0.1752         -0.0958           0.934
        103.4354       -181.2785          0.2018          0.1182           1.769
        112.0470       -551.4713          0.2499         -0.0551           4.143
        695.6972       -681.6700         -0.1852         -0.0883           1.631
        881.7844        327.8793         -0.1484          0.0700           3.556
       -442.0568       -280.8903         -0.0741          0.5497           1.832
       -444.6929       -230.7478          0.3622         -0.2482           2.845
       -582.9882       -809.3697          0.2063         -0.2924           1.622
       -899.1120       -580.3598          0.1641         -0.0236           4.788
       -347.1606        290.0910          0.0496          0.4361           5.189
       -317.0240        365.8663          0.4297          0.3378           1.320
        459.0148        106.5973          0.4809          0.0097           3.563
        249.2785       -801.5194          0.4508         -0.0531           4.919
        220.9223        483.8942         -0.0738         -0.4604           5.375
       -732.1998        383.4507          0.2018          0.1146           2.566
        784.2962        344.2296          0.0862          0.0755           0.483
       -500.8459       -163.8140         -0.0392         -0.0844           4.713
       -171.4039       -491.0005         -0.0687          0.0706           3.671
         33.0236        284.4537          0.2722          0.1204           2.985
       -274.4101        123.1741          0.2197          0.1123           4.435
       -591.1132       -108.8871         -0.8181         -0.2017           4.862
       -859.0640        732.5311         -0.1246          0.1093           3.571
       -375.8291       -413.9819         -0.0543          0.4396           4.350
       -631.3509       -403.1779         -0.0357          0.0268           2.642
       -359.4853        338.4956         -0.0106          0.7015           3.644
        887.7934       -778.7155         -0.3820          0.1544           3.518
        795.4168       -692.2993          0.0416          0.0933           2.438
        686.3581        140.0971         -0.4252          0.5402           2.127
       -746.3212       -555.6352          0.1295         -0.7841           0.413
        374.8347        243.2003          0.0879         -0.1810           4.414
        196.7970       -400.1447          0.1862          0.0709           1.853
        291.5581        164.0000         -0.3265         -0.5652           2.917
         -8.7019       -435.6308          0.2816         -0.6617           4.578
       -755.6681        717.0813          0.3554          0.3432           3.090
         23.6476       -488.0985         -0.0481         -0.2667           4.979
       -538.7866       -811.6573          0.3100          0.1067           1.959
       -194.5641       -875.5324         -0.0251         -0.0818           2.886
        -11.3180        411.9791         -0.1690          0.2712           1.304
        191.8312        554.8507         -0.0215          0.1316           3.832
        -25.7567        867.3531         -0.2565         -0.0832           4.407
        146.8061        101.7719         -0.0639         -0.0746           2.851
       -556.8328        858.6390         -0.4172          0.5457           4.905
       -384.0278        293.5559         -0.4439          0.4873           5.754
        645.7062        131.7858          0.0436          0.0005           2.717
       -508.3100        216.4934         -0.5303         -0.2020           5.515
        221.4826       -888.9869         -0.3609          0.6623           2.205
        322.8015       -797.2705          0.3417          0.1913           4.625
        419.1406       -387.9125         -0.2076          0.5788           0.567
        227.7617       -832.7782          0.2216          0.1458           4.467
        152.2794        223.0470          0.3943         -0.5503           5.726
       -679.9913       -303.4429         -0.3237          0.3641           3.532
        243.6197          6.1366         -0.2481         -0.2059           5.116
       -468.2060       -888.7649          0.3821         -0.2821           3.353
        628.2402        790.3883         -0.3974         -0.2934           1.661
        610.9420       -393.6359          0.1132          0.1669           1.297
        -89.0944       -693.4072         -0.5401          0.3563           4.836
       -733.2117        513.8951         -0.1167          0.0546           3.311
        133.9768        388.2184          0.2666          0.0262           1.761
        879.2682        566.8108          0.7910          0.0342           2.817
       -173.1012       -655.3637          0.0096          0.0190           1.167
       -883.3499       -367.0118         -0.3722         -0.1248           3.913
       -157.5008       -818.6860         -0.0794          0.2551           3.939
       -451.1731       -509.5939         -0.0676         -0.0454           0.470
        411.0953        629.7858          0.3293         -0.0264           2.394
       -552.8789       -426.6707         -0.2155          0.3621           0.524
        562.1016         65.7731         -0.5437         -0.0319           1.171
       -533.3792        -91.8120         -0.4029         -0.0151           5.304
       -678.8410       -605.9624          0.1369         -0.6057           3.761
        468.4563        -79.9577         -0.2709          0.2717           4.772
       -714.3718        559.8136         -0.0863          0.0024           1.169
       -630.6401        276.1072         -0.0865          0.0623           2.370
       -214.7947        511.6419         -0.0573          0.5495           5.354
        686.0254        597.2426          0.1159         -0.5968           4.545
        276.7189       -883.9332          0.0954         -0.1205           1.660
        691.7509        -88.6462         -0.1092         -0.1512           0.862
        548.1156       -128.8377          0.0258          0.1912           2.266
        503.1213       -269.1141         -0.2410          0.6071           3.783
       -642.1730        660.7544         -0.1593         -0.1233           4.360
        828.1064        -44.8987         -0.2141         -0.4939           0.592
       -604.3044       -244.2323          0.1498         -0.0711           1.842
        631.2541        725.2950          0.0051         -0.4991           5.785
        634.6503       -187.0972         -0.6707          0.1524           0.952
         10.1262        140.1069          0.2565         -0.4182           5.466
       -762.4563        135.1694         -0.0451          0.4439           0.687
        895.0461       -547.1381         -0.4839          0.6566           1.978
        146.5044        294.6349          0.0535         -0.1289           1.399
       -726.8129       -860.6180          0.3647          0.0341           3.362
       -356.2326       -599.1228         -0.3766          0.4523           2.258
       -286.6536        339.4245         -0.2946         -0.5225           1.324
        761.8132       -452.7914          0.0030         -0.0259           5.412
       -114.1826       -686.3792         -0.4901         -0.1701           3.515
        648.3583        868.7615          0.1442          0.0766           4.570
       -815.8208        -92.7386          0.1247          0.0966           0.570
         22.9290        854.3456          0.3914         -0.1585           1.226
        824.1806       -583.1925         -0.0358         -0.3630           2.560
        382.3109         -9.2886         -0.1043         -0.1564           3.473
        638.6691       -322.7203         -0.5007         -0.2516           4.321
       -318.9649       -228.0690          0.2724          0.0316           5.581
       -614.4200        251.8642         -0.3312          0.5075           4.312
        226.1920        770.8164         -0.4144         -0.4937           2.799
        286.7574        493.3404         -0.1837         -0.0539           1.730
