  1   0.214242  10.642548   2.025 3
  2  -7.168908  11.681424   5.754 3
  3 -10.248342  11.055504   3.920 3
  4   5.100546   6.226770   1.824 7
  5  -4.022730   7.568850   2.498 3
  6   3.425910   7.536666   1.335 7
  7  10.258320  11.009808   4.283 2
  8  -7.640196  -3.965298   4.546 2
  9  -0.562110  10.695936   2.410 2
 10 -10.482024   6.180084   2.727 2
 11   6.709632   8.843610   2.104 3
 12 -12.867348   0.893466   3.726 2
 13   5.581950  -3.172038   4.289 2
 14 -12.830808  -0.027864   4.740 2
 15   2.352186   0.644178   1.411 5
 16   5.178396  10.210782   2.971 3
 17   7.728288  11.634810   3.956 3
 18   0.307932   6.153720   1.472 5
 19   3.713784  12.634770   2.213 2
 20   7.750380  15.341004   2.082 2
 21   3.645210  14.932992   3.325 2
 22 -13.981914   3.415734   4.709 2
 23   8.050230  -0.468708   2.430 2
 24   5.756628   4.209894   3.993 4
 25  -4.446018  -1.651470   1.830 4
 26  -6.220602  12.571806   2.350 2
 27  -0.980322  14.045304   1.908 2
 28 -12.068646  -7.341504   4.898 2
 29   7.423140  13.019574   4.601 3
 30   1.666374   9.910572   1.621 2
 31   1.473708   6.568212   2.737 5
 32  -2.930466  -2.650128   2.104 5
 33  -7.722720   3.359502   1.764 2
 34  -2.082510  11.584176   2.316 2
 35  -4.759614  12.294564   3.865 2
 36   6.649650   7.577796   2.743 3
 37   0.885756  -2.318898   3.833 3
 38  -5.891820  -6.730140   3.818 2
 39  -6.383484  -3.359640   2.237 2
 40 -11.384166   7.700112   5.176 2
 41   3.445464   3.314022   5.958 5
 42   8.949462   7.207116   4.891 2
 43  -2.705940   1.343862   4.996 4
 44   7.571532   0.468240   2.448 2
 45  -7.039518   4.479222   3.355 2
 46 -11.719530  10.566366   4.346 2
 47   8.246166  12.525210   3.156 3
 48   8.785944  -0.528450   3.975 2
 49   9.735126   7.382034   2.617 2
 50   8.085246  19.195416   5.225 2
 51  -6.768858   8.816364   2.138 2
 52   5.900442   6.034404   5.592 3
 53   7.640760  -2.066046   3.927 4
 54   4.410666  -1.760034   2.318 2
 55   0.160134   3.236610   1.503 5
 56  -9.430410  -3.983304   2.467 2
 57   4.798572  -2.328810   1.955 2
 58   1.857072   2.277246   6.411 5
 59   8.371788   7.552098   5.241 2
 60  -9.160338  -1.459176   4.586 2
 61   5.223438   8.770188   2.235 5
 62   8.817600  14.139870   4.307 3
 63  -4.678620  11.607966   2.995 2
 64   4.825044   0.081144   4.715 2
 65  -3.969924  -2.180856   2.995 4
 66  -5.650248   7.570242   2.450 4
 67  -3.876570  -2.157822   2.535 4
 68   5.492544   2.020278   2.451 8
 69  -1.500720  -4.421736   3.040 3
 70  -2.038386  15.677676   3.996 2
 71  -8.151168  -0.830250   6.355 2
 72   2.746710  14.215938   3.606 2
 73  -5.981160  -3.022308   2.149 2
 74   5.890902   2.437296   3.274 4
 75   0.884334   9.581376   1.842 2
 76   3.946122  -6.632610   4.531 2
 77  -6.598086   2.512902   3.193 2
 78   1.162944  15.285252   5.650 2
 79  -5.505624   5.022168   1.877 2
 80  -1.434888  -5.305146   2.780 3
 81  -3.666234  -2.601564   2.173 4
 82   7.323990   3.393156   1.813 2
 83   4.864068  -3.779130   2.242 2
